cell_id,road_density_primary
r0016_c0055,0.0
r0016_c0056,0.0
r0016_c0061,6.63
r0016_c0062,0.0
r0017_c0054,0.0
r0017_c0056,0.0
r0017_c0059,0.0
r0017_c0062,0.0
r0018_c0054,0.0
r0018_c0055,75.05
r0018_c0056,0.0
r0018_c0057,0.0
r0018_c0058,0.0
r0018_c0062,13.25
r0019_c0054,0.0
r0019_c0055,0.0
r0019_c0056,0.0
r0019_c0057,0.0
r0019_c0058,0.0
r0019_c0060,0.0
r0019_c0062,0.0
r0019_c0063,0.0
r0020_c0054,0.0
r0020_c0055,0.0
r0020_c0056,0.0
r0020_c0057,0.0
r0020_c0058,0.0
r0020_c0059,0.0
r0020_c0060,10.05
r0020_c0061,25.88
r0020_c0062,0.0
r0021_c0055,0.0
r0021_c0056,0.0
r0021_c0057,0.0
r0021_c0058,0.0
r0021_c0059,0.0
r0021_c0061,28.44
r0021_c0064,5.31
r0021_c0065,0.0
r0022_c0054,0.0
r0022_c0055,0.0
r0022_c0056,0.0
r0022_c0057,0.0
r0022_c0058,0.0
r0022_c0060,0.0
r0022_c0061,9.09
r0022_c0063,0.0
r0022_c0064,10.64
r0022_c0065,0.0
r0022_c0066,0.0
r0023_c0046,0.0
r0023_c0054,0.0
r0023_c0055,0.0
r0023_c0056,0.0
r0023_c0057,0.0
r0023_c0058,0.0
r0023_c0059,0.0
r0023_c0064,0.0
r0023_c0065,9.14
r0023_c0066,13.46
r0024_c0054,0.0
r0024_c0055,0.0
r0024_c0056,0.0
r0024_c0057,0.0
r0024_c0058,0.0
r0024_c0059,1.49
r0024_c0063,0.0
r0024_c0064,0.0
r0024_c0065,0.0
r0024_c0066,8.33
r0024_c0068,0.0
r0024_c0069,0.0
r0024_c0070,10.12
r0025_c0054,0.0
r0025_c0055,0.0
r0025_c0056,0.0
r0025_c0057,13.53
r0025_c0058,30.42
r0025_c0059,2.77
r0025_c0062,29.89
r0025_c0063,3.5
r0025_c0064,20.01
r0025_c0065,0.0
r0025_c0066,2.94
r0025_c0068,0.0
r0025_c0069,0.0
r0025_c0070,0.0
r0025_c0071,0.0
r0026_c0054,0.0
r0026_c0055,0.0
r0026_c0056,0.0
r0026_c0057,0.0
r0026_c0058,0.0
r0026_c0059,0.0
r0026_c0062,13.47
r0026_c0063,0.0
r0026_c0064,0.0
r0026_c0065,0.0
r0026_c0066,0.0
r0026_c0067,0.0
r0026_c0068,10.83
r0026_c0069,0.0
r0026_c0070,0.0
r0026_c0071,0.0
r0026_c0072,0.0
r0027_c0054,0.0
r0027_c0055,0.0
r0027_c0056,0.0
r0027_c0057,52.49
r0027_c0058,0.0
r0027_c0059,0.0
r0027_c0062,0.0
r0027_c0063,0.0
r0027_c0064,0.0
r0027_c0065,0.0
r0027_c0066,0.0
r0027_c0067,0.0
r0027_c0068,0.0
r0027_c0069,0.0
r0027_c0070,0.0
r0027_c0071,0.0
r0027_c0073,0.0
r0028_c0054,0.0
r0028_c0055,0.0
r0028_c0056,0.0
r0028_c0057,0.0
r0028_c0058,0.0
r0028_c0059,0.0
r0028_c0062,0.0
r0028_c0063,0.0
r0028_c0064,0.0
r0028_c0065,0.0
r0028_c0066,0.0
r0028_c0067,0.0
r0028_c0068,0.0
r0028_c0069,0.0
r0028_c0070,0.0
r0028_c0071,0.0
r0028_c0072,0.0
r0028_c0073,0.0
r0028_c0074,0.0
r0029_c0054,0.0
r0029_c0055,0.0
r0029_c0056,0.0
r0029_c0057,0.0
r0029_c0058,0.63
r0029_c0059,0.0
r0029_c0062,64.88
r0029_c0063,0.0
r0029_c0064,0.0
r0029_c0065,0.0
r0029_c0066,0.0
r0029_c0067,0.0
r0029_c0068,27.51
r0029_c0069,0.0
r0029_c0070,0.0
r0029_c0071,0.0
r0029_c0072,0.0
r0029_c0073,0.0
r0029_c0074,0.0
r0029_c0075,0.0
r0030_c0055,0.0
r0030_c0056,0.0
r0030_c0057,0.0
r0030_c0058,0.0
r0030_c0059,29.81
r0030_c0060,0.0
r0030_c0062,48.58
r0030_c0063,2.65
r0030_c0064,0.0
r0030_c0065,0.0
r0030_c0066,0.0
r0030_c0067,0.0
r0030_c0068,0.0
r0030_c0070,0.0
r0030_c0071,0.0
r0030_c0072,0.0
r0030_c0073,0.0
r0030_c0074,0.0
r0030_c0075,1.29
r0030_c0076,9.35
r0031_c0055,0.0
r0031_c0056,0.0
r0031_c0057,0.0
r0031_c0058,0.0
r0031_c0059,0.0
r0031_c0060,0.0
r0031_c0061,0.0
r0031_c0063,0.0
r0031_c0064,0.0
r0031_c0065,0.0
r0031_c0066,0.0
r0031_c0067,0.0
r0031_c0069,0.0
r0031_c0070,0.0
r0031_c0073,0.0
r0031_c0075,13.44
r0031_c0076,0.0
r0032_c0056,0.0
r0032_c0057,0.0
r0032_c0058,0.0
r0032_c0059,0.0
r0032_c0060,0.0
r0032_c0061,0.0
r0032_c0062,0.0
r0032_c0063,0.0
r0032_c0064,0.0
r0032_c0065,0.0
r0032_c0066,0.0
r0032_c0067,0.0
r0032_c0068,0.0
r0032_c0070,0.0
r0032_c0072,0.0
